epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3093.44,1.44617,1.11299,1.4855,0.8446,0.84496,0.90873,0.52996,1.34091,0.78757,1.52012,0.000244847,0.000244847,0.000244847
43,3166.39,1.44214,1.14525,1.49713,0.86651,0.87137,0.90506,0.53659,1.31201,0.72838,1.4967,0.000241795,0.000241795,0.000241795
44,3237.5,1.43709,1.12575,1.47708,0.87888,0.87885,0.91365,0.54741,1.30286,0.74985,1.47992,0.000238742,0.000238742,0.000238742
45,3310.57,1.44264,1.10324,1.48227,0.85438,0.88837,0.91246,0.56316,1.27881,0.69987,1.47199,0.00023569,0.00023569,0.00023569
46,3384.17,1.42388,1.10018,1.47363,0.87788,0.86915,0.91134,0.54421,1.28624,0.70218,1.4779,0.000232638,0.000232638,0.000232638
47,3456.75,1.39196,1.07898,1.45511,0.88331,0.88136,0.94152,0.55696,1.30541,0.70751,1.48374,0.000229585,0.000229585,0.000229585
48,3530.13,1.41977,1.08815,1.47073,0.91035,0.86364,0.9442,0.56365,1.2966,0.71641,1.47875,0.000226533,0.000226533,0.000226533
49,3604.35,1.39444,1.07841,1.45761,0.88182,0.87738,0.94222,0.57907,1.28507,0.70098,1.4595,0.00022348,0.00022348,0.00022348
50,3677.49,1.38689,1.05693,1.44657,0.86798,0.90228,0.93979,0.59295,1.28356,0.7041,1.46959,0.000220427,0.000220427,0.000220427
51,3749.42,1.37119,1.03416,1.43873,0.88976,0.88368,0.924,0.5634,1.26665,0.67741,1.44437,0.000217375,0.000217375,0.000217375
52,3821.61,1.39489,1.07604,1.4515,0.87336,0.87426,0.94282,0.58291,1.25917,0.6849,1.44269,0.000214322,0.000214322,0.000214322
53,3895.05,1.38917,1.0471,1.44737,0.87719,0.86086,0.91659,0.56667,1.24687,0.67771,1.43245,0.00021127,0.00021127,0.00021127
54,3965.8,1.37105,1.01992,1.42973,0.83883,0.89945,0.94485,0.58623,1.26606,0.70038,1.44678,0.000208217,0.000208217,0.000208217
55,4038.17,1.36932,1.03391,1.43678,0.89536,0.87586,0.92196,0.58448,1.21715,0.64818,1.41613,0.000205165,0.000205165,0.000205165
56,4111.1,1.36288,1.01606,1.42705,0.89762,0.89973,0.94038,0.5998,1.23859,0.6855,1.43311,0.000202113,0.000202113,0.000202113
57,4184.68,1.37693,1.03378,1.43996,0.89382,0.89736,0.95386,0.6086,1.20078,0.63978,1.4037,0.00019906,0.00019906,0.00019906
58,4258.85,1.34802,0.98704,1.41577,0.89355,0.89566,0.95204,0.61789,1.20524,0.64402,1.40415,0.000196008,0.000196008,0.000196008
59,4330.71,1.33378,0.97428,1.40897,0.87538,0.90814,0.95083,0.62502,1.17625,0.6255,1.38753,0.000192955,0.000192955,0.000192955
60,4403.82,1.31935,0.9878,1.40746,0.89727,0.90542,0.94992,0.63267,1.16689,0.61389,1.37644,0.000189902,0.000189902,0.000189902
61,4476.61,1.33424,0.9835,1.41817,0.89549,0.88521,0.95295,0.614,1.16595,0.61111,1.38222,0.00018685,0.00018685,0.00018685
62,4547.63,1.32329,0.97671,1.4039,0.91,0.9161,0.96015,0.61072,1.16067,0.60455,1.3635,0.000183798,0.000183798,0.000183798
63,4621.05,1.32431,0.96161,1.40451,0.89421,0.91402,0.95328,0.61472,1.15557,0.61131,1.36371,0.000180745,0.000180745,0.000180745
64,4693.03,1.30976,0.9448,1.39211,0.88699,0.93341,0.96355,0.62329,1.14138,0.59989,1.36185,0.000177692,0.000177692,0.000177692
65,4764.78,1.29583,0.94717,1.38937,0.91456,0.89792,0.95841,0.62088,1.13682,0.59257,1.35294,0.00017464,0.00017464,0.00017464
66,4837.65,1.2913,0.94692,1.38187,0.90297,0.90202,0.96174,0.62504,1.12954,0.57325,1.33641,0.000171588,0.000171588,0.000171588
67,4911.12,1.29433,0.93754,1.38288,0.88281,0.92919,0.95838,0.63101,1.11382,0.57978,1.33048,0.000168535,0.000168535,0.000168535
68,4982.89,1.28756,0.93129,1.38203,0.91313,0.89784,0.94716,0.64919,1.12546,0.57468,1.34262,0.000165482,0.000165482,0.000165482
69,5055.73,1.27871,0.9205,1.36954,0.91235,0.92402,0.96044,0.64846,1.10199,0.56798,1.32981,0.00016243,0.00016243,0.00016243
70,5127.22,1.27477,0.91899,1.36847,0.8794,0.91383,0.94987,0.64719,1.09954,0.57147,1.31713,0.000159377,0.000159377,0.000159377
71,5201.38,1.2812,0.91496,1.36094,0.91842,0.90577,0.96002,0.66101,1.08408,0.56544,1.31348,0.000156325,0.000156325,0.000156325
72,5273.86,1.24647,0.89039,1.36079,0.92134,0.90484,0.96425,0.66514,1.10246,0.55834,1.32595,0.000153273,0.000153273,0.000153273
73,5347.14,1.24402,0.90636,1.36119,0.9089,0.92721,0.96261,0.66271,1.07036,0.54583,1.2954,0.00015022,0.00015022,0.00015022
74,5419.87,1.24645,0.90825,1.36561,0.89868,0.92712,0.96031,0.65978,1.05837,0.54986,1.29303,0.000147168,0.000147168,0.000147168
75,5492.34,1.23778,0.89714,1.35064,0.89692,0.92834,0.96439,0.66305,1.05701,0.54603,1.29235,0.000144115,0.000144115,0.000144115
76,5565.42,1.24847,0.89234,1.35115,0.91129,0.92368,0.96497,0.66361,1.03747,0.53767,1.28032,0.000141062,0.000141062,0.000141062
77,5638.16,1.24187,0.89232,1.34836,0.91556,0.9009,0.95725,0.6657,1.04372,0.54385,1.28427,0.00013801,0.00013801,0.00013801
78,5709.25,1.20988,0.84936,1.33091,0.90573,0.91722,0.96325,0.67859,1.02478,0.52322,1.26067,0.000134957,0.000134957,0.000134957
79,5781.51,1.22003,0.85884,1.33036,0.9119,0.93618,0.96472,0.6882,1.01391,0.51432,1.2585,0.000131905,0.000131905,0.000131905
80,5854.97,1.21354,0.86184,1.33816,0.91174,0.91896,0.96531,0.68104,1.01427,0.51962,1.26215,0.000128853,0.000128853,0.000128853
81,5929.07,1.21488,0.86033,1.34123,0.92029,0.91438,0.96501,0.67907,0.99438,0.51421,1.25294,0.0001258,0.0001258,0.0001258
82,6002.58,1.20097,0.83785,1.32804,0.91797,0.8895,0.96486,0.68002,0.99503,0.52061,1.24686,0.000122747,0.000122747,0.000122747
83,6075.07,1.18287,0.82315,1.3161,0.93458,0.91507,0.96837,0.67053,1.00314,0.51292,1.25145,0.000119695,0.000119695,0.000119695
84,6146.76,1.19039,0.8368,1.32278,0.93403,0.93521,0.97394,0.68686,0.97343,0.49765,1.23186,0.000116643,0.000116643,0.000116643
85,6219.04,1.1654,0.82207,1.30924,0.90571,0.94818,0.9743,0.69488,0.99447,0.49322,1.24574,0.00011359,0.00011359,0.00011359
86,6291.53,1.18295,0.82537,1.31958,0.94691,0.94395,0.97224,0.69899,0.97118,0.48683,1.22619,0.000110537,0.000110537,0.000110537
87,6365.76,1.1746,0.81441,1.30932,0.93263,0.93385,0.97079,0.69587,0.97519,0.49209,1.23069,0.000107485,0.000107485,0.000107485
88,6438.48,1.17134,0.8158,1.30081,0.9391,0.93999,0.96672,0.69637,0.96215,0.48313,1.22475,0.000104433,0.000104433,0.000104433
89,6511.19,1.18912,0.82502,1.31205,0.91969,0.94139,0.96685,0.69124,0.94475,0.48246,1.21259,0.00010138,0.00010138,0.00010138
90,6583.7,1.16718,0.80298,1.29965,0.89837,0.93233,0.96699,0.68673,0.93866,0.47934,1.20887,9.83275e-05,9.83275e-05,9.83275e-05
